Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001382 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000999 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.003470 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000998 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000997 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.003078 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.004075 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.009592 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001267 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001216 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.003481 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000997 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001186 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.002181 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.005176 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.009654 seconds
Method: Merge Sort, Data Size: 18, Time Taken: 0.021239 seconds
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 13
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
HeapSort - Half: 0.000000s, Full: 0.000000s, Size: 1
HeapSort (Doctor Records) - Time: 0.000000s, Size: 1, Key: Record Date
HeapSort (Doctor Records) - Time: 0.000000s, Size: 1, Key: Patient ID
HeapSort (Medical Records) - Time: 0.000000s, Size: 1, Key: Diagnosis
HeapSort (Doctor Records) - Time: 0.000000s, Size: 5, Key: Record Date
HeapSort (Doctor Records) - Time: 0.000000s, Size: 5, Key: Patient ID
HeapSort (Doctor Records) - Time: 0.000000s, Size: 5, Key: Patient Name
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Ascending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 8, Direction: Ascending
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Descending
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Ascending
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Descending
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 9
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 9
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 9
QuickSort - Half: 0.003060s, Full: 0.000000s, Size: 9
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Descending
MergeSort (Appointments) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Ascending
QuickSort - Half: 0.002990s, Full: 0.000997s, Size: 13
QuickSort - Half: 0.000000s, Full: 0.000995s, Size: 13
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Ascending
MergeSort - Half: 0.001027s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000998s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000998s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.004025s, Full: 0.000000s, Size: 18
MergeSort - Half: 0.000000s, Full: 0.001543s, Size: 18
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 14
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 14
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 1, Direction: Descending
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 11, Direction: Descending
HeapSort (Medical Records) - Half: 0.000000s, Full: 0.000000s, Size: 11, Direction: Ascending
MergeSort - Half: 0.000000s, Full: 0.000000s, Size: 18
QuickSort - Half: 0.000000s, Full: 0.000000s, Size: 14
